       TaskID   GiftID	GiftType   TaskType   RequestTime   TaskArrival    TT    Responsible
--------------------------------------------------------------------------------------------
          1          1          3          A          0          0          2       ElfB
          2          2          2          P          1          1          3       ElfA
          3          1          3          C          2          0          1       ElfB
          4          3          1          C          3          3          1       ElfB
          5          1          3          D          3          0          1      Santa
          6          2          2          C          4          1          1       ElfA
          7          3          1          D          4          3          1      Santa
          8          4          5          A          5          5          2       ElfB
          9          2          2          D          5          1          1      Santa
         10          4          5          Q          5          5          2      Santa
         11          5          3          A          6          6          3       ElfB
         12          6          2          P          7          7          3       ElfA
         13          4          5          C          7          5          3       ElfB
         14          7          1          C          8          8          3       ElfA
         15          5          3          C          9          6          2       ElfB
         16          4          5          D         10          5          1      Santa
         17          8          1          C          9          9          3       ElfA
         18          6          2          C         10          7          2       ElfB
         19          7          1          D         11          8          1      Santa
         20          9          1          C         10         10          3       ElfA
         21         10          3          A         11         11          3       ElfB
         22          5          3          D         11          6          2      Santa
         23         11          2          P         12         12          4       ElfA
         24          8          1          D         12          9          2      Santa
         25         10          3          C         14         11          1       ElfB
         26          6          2          D         12          7          3      Santa
         27         13          1          C         14         14          2       ElfB
         28          9          1          D         13         10          3      Santa
         29         14          1          C         15         15          2       ElfA
         30         11          2          C         16         12          1       ElfB
         31         10          3          D         15         11          2      Santa
         32         15          1          C         16         16          2       ElfA
         33         12          3          A         13         13          6       ElfB
         34         13          1          D         16         14          2      Santa
         35         16          2          P         18         18          3       ElfA
         36         14          1          D         17         15          2      Santa
         37         12          3          C         19         13          1       ElfB
         38         11          2          D         17         12          3      Santa
         39         15          1          D         18         16          3      Santa
         40         16          2          C         21         18          1       ElfB
         41         17          2          P         19         19          5       ElfA
         42         12          3          D         20         13          2      Santa
         43         19          1          C         21         21          2       ElfB
         44         16          2          D         22         18          1      Santa
         45         21          1          C         23         23          1       ElfB
         46         19          1          D         23         21          1      Santa
         47         17          2          C         24         19          1       ElfA
         48         22          1          C         24         24          1       ElfB
         49         21          1          D         24         23          1      Santa
         50         18          2          P         20         20          8       ElfA
         51         20          3          A         22         22          5       ElfB
         52         17          2          D         25         19          1      Santa
         53         22          1          D         25         24          2      Santa
         54         25          1          C         27         27          1       ElfB
         55         20          3          C         27         22          2       ElfA
         56         25          1          D         28         27          1      Santa
         57         18          2          C         28         20          1       ElfB
         58         23          2          P         25         25          7       ElfA
         59         20          3          D         29         22          1      Santa
         60         27          1          C         29         29          1       ElfB
         61         18          2          D         29         20          2      Santa
         62         24          3          A         26         26          6       ElfB
         63         27          1          D         30         29          2      Santa
         64         29          1          C         31         31          2       ElfA
         65         23          2          C         32         25          1       ElfB
         66         28          5          Q         30         30          3      Santa
         67         30          1          C         32         32          2       ElfA
         68         24          3          C         32         26          2       ElfB
         69         29          1          D         33         31          1      Santa
         70         32          1          C         34         34          1       ElfA
         71         28          5          A         30         30          6       ElfB
         72         23          2          D         33         25          2      Santa
         73         33          1          C         35         35          1       ElfA
         74         30          1          D         34         32          2      Santa
         75         34          1          C         36         36          1       ElfA
         76         28          5          C         36         30          1       ElfB
         77         24          3          D         34         26          3      Santa
         78         26          2          P         28         28         12       ElfA
         79         35          3          A         37         37          2       ElfB
         80         32          1          D         35         34          3      Santa
         81         33          1          D         36         35          3      Santa
         82         35          3          C         39         37          1       ElfB
         83         34          1          D         37         36          3      Santa
         84         38          1          C         40         40          1       ElfA
         85         26          2          C         40         28          1       ElfB
         86         28          5          D         37         30          4      Santa
         87         31          2          P         33         33         11       ElfA
         88         37          3          A         39         39          4       ElfB
         89         35          3          D         40         37          2      Santa
         90         38          1          D         41         40          2      Santa
         91         40          1          C         42         42          2       ElfB
         92         26          2          D         41         28          3      Santa
         93         41          1          C         43         43          2       ElfA
         94         37          3          C         43         39          2       ElfB
         95         40          1          D         44         42          1      Santa
         96         31          2          C         44         33          2       ElfA
         97         43          1          C         45         45          1       ElfB
         98         41          1          D         45         43          1      Santa
         99         36          2          P         38         38         11       ElfA
        100         39          3          A         41         41          7       ElfB
        101         37          3          D         45         39          2      Santa
        102         31          2          D         46         33          2      Santa
        103         45          1          C         48         48          1       ElfB
        104         43          1          D         46         45          3      Santa
        105         39          3          C         48         41          2       ElfA
        106         46          1          C         49         49          1       ElfB
        107         45          1          D         49         48          1      Santa
        108         36          2          C         49         38          2       ElfA
        109         42          5          A         44         44          8       ElfB
        110         39          3          D         50         41          1      Santa
        111         44          4          P         46         46          8       ElfA
        112         46          1          D         50         49          2      Santa
        113         48          1          C         52         52          1       ElfB
        114         36          2          D         51         38          2      Santa
        115         49          1          C         53         53          1       ElfB
        116         48          1          D         53         52          1      Santa
        117         50          1          C         54         54          1       ElfA
        118         49          1          D         54         53          1      Santa
        119         51          5          A         55         55          2       ElfB
        120         47          2          P         51         51          7       ElfA
        121         50          1          D         55         54          1      Santa
        122         42          5          Q         44         44         13      Santa
        123         52          3          A         56         56          3       ElfB
        124         44          4          Q         46         46         12      Santa
        125         42          5          C         57         44          2       ElfA
        126         51          5          Q         55         55          4      Santa
        127         54          1          C         58         58          2       ElfA
        128         47          2          C         58         51          2       ElfB
        129         42          5          D         59         44          1      Santa
        130         44          4          C         58         46          3       ElfA
        131         55          1          C         59         59          2       ElfB
        132         54          1          D         60         58          1      Santa
        133         52          3          C         59         56          3       ElfA
        134         51          5          C         59         55          3       ElfB
        135         47          2          D         60         51          2      Santa
        136         56          1          C         60         60          3       ElfA
        137         53          3          A         57         57          7       ElfB
        138         44          4          D         61         46          2      Santa
        139         59          1          C         63         63          1       ElfA
        140         55          1          D         61         59          3      Santa
        141         53          3          C         64         57          1       ElfB
        142         57          2          P         61         61          6       ElfA
        143         52          3          D         62         56          3      Santa
        144         58          5          A         62         62          5       ElfB
        145         51          5          D         62         55          4      Santa
        146         56          1          D         63         60          4      Santa
        147         60          1          C         66         66          2       ElfB
        148         61          1          C         67         67          1       ElfA
        149         59          1          D         64         63          4      Santa
        150         57          2          C         67         61          2       ElfB
        151         62          1          C         68         68          1       ElfA
        152         53          3          D         65         57          4      Santa
        153         63          1          C         69         69          1       ElfB
        154         60          1          D         68         66          2      Santa
        155         64          1          C         70         70          1       ElfA
        156         61          1          D         68         67          3      Santa
        157         65          1          C         71         71          1       ElfB
        158         57          2          D         69         61          3      Santa
        159         66          5          A         72         72          2       ElfB
        160         62          1          D         69         68          4      Santa
        161         63          1          D         70         69          4      Santa
        162         67          3          A         73         73          3       ElfB
        163         64          1          D         71         70          4      Santa
        164         69          1          C         75         75          1       ElfA
        165         65          1          D         72         71          4      Santa
        166         67          3          C         76         73          1       ElfB
        167         69          1          D         76         75          1      Santa
        168         68          3          A         74         74          5       ElfB
        169         67          3          D         77         73          1      Santa
        170         72          1          C         78         78          1       ElfA
        171         58          5          Q         62         62         17      Santa
        172         68          3          C         79         74          1       ElfB
        173         73          1          C         79         79          1       ElfA
        174         72          1          D         79         78          1      Santa
        175         58          5          C         79         62          2       ElfB
        176         74          2          P         80         80          3       ElfA
        177         68          3          D         80         74          1      Santa
        178         75          1          C         81         81          1       ElfB
        179         73          1          D         80         79          2      Santa
        180         70          3          A         76         76          8       ElfB
